OBJECTID,HUC12,Name,RarAqRankSW,RarAqSumSW,RarFish,RarAqAmph,RarAqRept,Shape__Area,Shape__Length
796,180201220303,Lone Rock Creek-Indian Creek,2,0.150943,0,2,0,151614669.660156,65345.3592863311
797,180201220206,Poison Creek-Last Chance Creek,0,0,0,0,0,164787581.074219,73996.881978531
798,180800030305,Merrill Creek-Frontal Eagle Lake,1,0.113208,2,0,0,212351644.746094,116169.796615137
799,180200021402,Holbrook Canyon,0,0,0,0,0,108617383.964844,56888.7010608741
800,180102040106,Fairchild Swamp,0,0,0,0,0,134076586.886719,76803.7491739719
801,180600080502,Lower Orcutt Creek,4,0.377358,0,3,1,115680514.03125,67286.6116110786
802,180600100603,Santa Rita Valley,3,0.283019,1,3,0,67110376.921875,42354.6659139213
803,180600090102,Upper San Antonio Creek,3,0.283019,1,3,0,181360961.15625,71389.4071682764
804,180600070503,Carrie Creek,0,0,0,0,0,76547204.9648438,53618.7968306144
805,180600050201,Rinconada Creek,3,0.226415,0,1,1,61624843.6992188,45538.9318819974
806,180600050301,East Branch Huerhuero Creek,3,0.226415,0,1,1,61869440.7929688,51140.8852965056
807,180600040405,Pine Creek-Estrella River,2,0.150943,0,0,1,139072475.160156,95510.524675739
808,180600040204,Upper Cholame Creek,2,0.150943,0,2,0,162667055.660156,69844.0063013475
809,180600040203,Cottonwood Creek,0,0,0,0,0,86618615.3242188,49682.9735683319
810,180300120604,Middle Los Gatos Creek,3,0.226415,0,1,1,204823453.835938,75773.4741107385
811,180300120304,Lower Warthan Creek,2,0.150943,0,2,0,102409794.058594,65380.377549303
812,180600040201,Little Cholame Creek,3,0.226415,0,1,1,161810036.476562,72849.1355847849
813,180300120403,Lower Jacalitos Creek,0,0,0,0,0,100233985.035156,55000.5059013887
814,180300090902,Arroyo Ciervo,0,0,0,0,0,79918708.4960938,57363.7597479887
815,180400070505,Ash Slough-Fresno River,3,0.207547,1,2,0,425866508.917969,147910.45497037
816,180400011801,180400011801-Bear Creek,1,0.075472,0,1,0,61408047.3789062,86602.3428255214
817,180400080802,Ingalsbe Slough-Merced River,5,0.584906,5,2,1,232210524.996094,109673.950758041
818,180400080701,Upper Dry Creek,2,0.150943,0,0,1,134814614.363281,65996.5475928317
819,180400100604,Angels Creek,1,0.075472,0,1,0,168452250.597656,98470.8117411656
820,180400091103,Peppermint Creek-Woods Creek,4,0.358491,1,2,1,161110413.253906,100326.115978122
821,180400100503,Lower South Fork Stanislaus River,3,0.283019,1,1,1,89979111.2890625,58420.081882063
822,180400100404,Dry Meadow Creek-Middle Fork Stanislaus River,2,0.169811,3,0,0,192909910.179688,94704.3189736737
823,180400130403,Sopiago Creek-Middle Fork Cosumnes River,4,0.377358,0,3,1,104015775.582031,66659.1360229289
824,180201280302,Dolly Creek-Middle Fork American River,0,0,0,0,0,252472498.042969,96937.5960091626
825,180201250601,Fordyce Creek,5,0.415094,2,2,1,232905637.171875,94526.0441705094
826,160501020103,Cold Stream-Little Truckee River,2,0.188679,2,1,0,77293508.0078125,65487.1918901632
827,180201230310,Sierra Valley Channels,0,0,0,0,0,553690445.582031,270126.117429729
828,180201220204,Willow Creek-Last Chance Creek,1,0.075472,0,1,0,237822500.207031,86276.6605375161
829,180201220302,Antelope Creek,1,0.075472,0,1,0,90200209.5,53366.5389852077
830,180800030705,Susan River Delta-Frontal Honey Lake,0,0,0,0,0,389387211.628906,101199.697033959
831,180800030602,Bill Reservoir Number 1,0,0,0,0,0,94374044.1640625,50412.066647928
832,180800020103,Dry Creek,0,0,0,0,0,102168894.828125,49521.8515077351
833,180200020102,Mill Creek,0,0,0,0,0,163276373.5625,63905.392122999
834,180200020704,Raker And Thomas Reservoirs,0,0,0,0,0,195752534.917969,75558.7576055757
835,180200020405,Pine Creek,0,0,0,0,0,117699444.039062,88836.7277096523
836,180200010404,Long Branch-Frontal Goose Lake,3,0.226415,4,0,0,284822775.394531,101542.982597055
837,180600080202,South Fork La Brea Creek,5,0.433962,1,1,2,122080795.027344,62047.9130872906
838,180600080201,North Fork La Brea Creek,5,0.433962,1,1,2,185310726.347656,78895.6868760641
839,180600070601,Carrizo Canyon,0,0,0,0,0,77062955.5742188,55829.9545718903
840,180600040301,Long Canyon-San Juan Creek,1,0.075472,0,1,0,220698013.84375,95447.6893705485
841,180300121301,Salt Canyon,3,0.226415,0,3,0,108794965.585938,71962.1771035238
842,180300120504,Lower Zapato Chino Creek,0,0,0,0,0,103822907.617188,70859.1753355519
843,180300122201,Arroyo Doblegado,0,0,0,0,0,65406032.03125,40893.2038184569
844,180300090907,Sandridge Canal,3,0.226415,0,1,1,110475385.953125,76003.1231125211
845,180400010204,Lower Cottonwood Creek,0,0,0,0,0,145129529.570312,84812.6326961875
846,180400011001,Corbet Creek-Bear Creek,3,0.226415,0,1,1,199091301.21875,69979.5723886671
847,180400090602,Lower Middle Tuolumne River,3,0.226415,0,1,1,96954324.203125,63964.544527861
848,180400090801,Upper Clavey River,1,0.075472,0,1,0,205162262.609375,76423.8344110146
849,180400100403,Cow Creek-Middle Fork Stanislaus River,1,0.075472,0,1,0,151117418.382812,62306.9145493246
850,180400100501,Upper South Fork Stanislaus River,3,0.283019,1,3,0,185871667.347656,72680.3238035224
851,180201290103,North Tragedy Creek,0,0,0,0,0,74091694.6171875,40019.8140522844
852,180201290104,Long Canyon-Silver Fork American River,4,0.377358,0,3,1,164630547.847656,65510.9456255881
853,180400120104,Meadow Creek-North Fork Mokelumne River,3,0.283019,1,3,0,224432664.804688,89711.053022134
854,180400100301,Upper North Fork Stanislaus River,1,0.075472,0,1,0,184572120.808594,67306.6610600233
855,160501010401,Fallen Leaf Lake-Frontal Lake Tahoe,5,0.45283,4,3,0,135288698.101562,54802.6883035301
856,160501020206,Trout Creek-Truckee River,1,0.075472,0,1,0,84229608.7304688,75250.2641708497
857,160501020502,Bronco Creek-Truckee River,1,0.075472,0,1,0,69494172.1796875,40342.490507449
858,180800031103,Lower Dry Valley Creek,0,0,0,0,0,18672332.0195312,36407.1882166857
859,180800031503,Sheep Springs-Frontal Honey Lake,0,0,0,0,0,264604835.210938,105696.423204166
860,180800020108,Upper Cold Spring Creek,0,0,0,0,0,187648109.832031,88074.0093564841
861,180800020109,Lower Cold Spring Creek-Madeline Plains,0,0,0,0,0,250389187.519531,87281.1616376485
862,160402030901,Headwaters Smoke Creek,0,0,0,0,0,225103206.5625,77309.0766951302
863,180800010307,Lower Alkali Lake,0,0,0,0,0,92612053.2578125,57187.8976336086
864,180800010107,Soldier Creek-Frontal Upper Alkali Lake,1,0.075472,0,1,0,174319404.097656,57532.5301082176
865,180800010103,Schamp Creek,0,0,0,0,0,61560109.171875,54559.0915830675
866,180600080103,Abel Canyon-Sisquoc River,3,0.283019,1,1,1,147247170.96875,60272.1398718192
867,180300121603,180300121603,0,0,0,0,0,117074203.546875,65945.9349930582
868,180300121901,Arroyo Tozo,0,0,0,0,0,148092006.816406,57977.6783900853
869,180300122003,Mussel Slough,2,0.150943,0,0,1,163477858.113281,80096.4012253313
870,180300090503,Mill Ditch,0,0,0,0,0,139079783.523438,84501.1147123066
871,180400010801,Root Creek,2,0.150943,0,2,0,60066895.8945312,57448.3139565833
872,180400010303,Scout Island-San Joaquin River,3,0.207547,1,2,0,128143139.765625,71579.9691937324
873,180400070202,Lower Coarse Gold Creek,3,0.226415,0,1,1,159198186.441406,69474.0601225751
874,180400061202,Lower Fine Gold Creek,5,0.45283,0,4,1,202582183.722656,81184.6321030204
875,180400080305,Indian Creek-Merced River,2,0.150943,0,2,0,100546488.941406,52611.3810999532
876,180400090302,Frog Creek,3,0.226415,0,1,1,78997041.9257812,71141.8997562284
877,180400100204,Eagle Creek,1,0.075472,0,1,0,81820156.4648438,45150.0455570853
878,160502010106,Pleasant Valley Creek,1,0.075472,0,1,0,107525140.882812,63051.8621783282
879,180600100201,Agua Caliente Canyon,5,0.528302,0,3,2,129139789.144531,62881.1513575088
880,180701010201,Rincon Creek,1,0.056604,1,0,0,55752436.328125,47069.5763275814
881,180600070106,Apache Canyon,0,0,0,0,0,151746041.203125,76050.0646113352
882,180300031403,Cienaga Creek,1,0.075472,0,1,0,149724979.765625,66267.0743200817
883,180300120804,Town of Shafter,0,0,0,0,0,119881791.886719,100691.877453772
884,180300121003,Lower Goose Lake Canal,0,0,0,0,0,109098510.226562,62704.8392906241
885,180300040404,Town of Wasco-Poso Creek,0,0,0,0,0,232201822.5,93006.7202578808
886,180300050802,Town of Richgrove,1,0.075472,0,1,0,198829418.433594,85352.5560817678
887,180300122102,Lamberson Ditch-Frontal Tulare Lake Bed,0,0,0,0,0,229885940.269531,93252.391249233
888,180300050803,Town of Earlimart,1,0.075472,0,1,0,105413035.546875,65340.0680118335
889,180300050904,Old Deer Creek Channel-Deer Creek,0,0,0,0,0,217864866.734375,135848.86981951
890,180300071204,Kennedy School House Ditch,1,0.075472,0,1,0,131500411.398438,100466.354229636
891,180300120202,Holland Creek-Kings River,2,0.150943,0,0,1,98730195.515625,66323.5757444799
892,180400061301,Kerckhoff Lake-San Joaquin River,2,0.150943,0,0,1,144040445.273438,76327.8696951199
